Type,Date,Time,Action,Errors,Ruleset ID,Ruleset Name,Rule ID,Rule Name,Destination List IDs,Destination Lists,Signature List ID,IPS Signature,IPS Signature Severity,IPS Signature CVE,Identities,Identity Types,Policy or Ruleset Identity,Policy or Ruleset Identity Type,Forwarding Method,Internal IP,External IP,Source IP,Destination IP,Source Port,Destination Port,Destination,Hostname,Categories,Integrations,Blocked Categories,Application,Application Category,Query Type,Content Type,Protocol,Filename,File Action (Remote Browser Isolation),Total Size in Bytes,Request Size,Response Size,Packet Size,Referrer,User Agent,Status Code,Direction,Threats,Threat Types,SHA256 Hash,Cisco AMP Result,Cisco AMP Disposition,Cisco AMP Score,Antivirus Result,Potentially Unwanted Applications,Other Antivirus Threats,Detected Response File Type,Isolated State,Data Loss Prevention State,Tenant Controls,Request Method,Umbrella Egress IP Address,Umbrella Egress Data Center
dns,2023-05-13,22:20:28,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,c2shb.ssp.yahoo.com,,"Search Engines (Legacy), Software/Technology (Legacy), Application, Computers and Internet, Search Engines and Portals",,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:20:28,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,beacons.gcp.gvt2.com,,"Infrastructure and Content Delivery Networks, Application",,,Google Secondary Services,Support,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:20:28,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,apex.go.sonobi.com,,"Business Services (Legacy), Application, Business and Industry",,,Sonobi,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:20:28,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,google.com,,"Search Engines (Legacy), Search Engines and Portals",,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:20:28,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,id.hadron.ad.gt,,"Advertisements, Infrastructure and Content Delivery Networks, Application",,,Audigent,Marketing & Sales,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:20:28,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,s2s.t13.io,,Infrastructure and Content Delivery Networks,,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:20:28,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,ap.lijit.com,,"Search Engines (Legacy), Advertisements, Business Services (Legacy), Application, Business and Industry",,,Sovrn,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:20:28,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,ads.yieldmo.com,,"Software/Technology (Legacy), Advertisements, Business Services (Legacy), Application, Business and Industry, Cloud and Data Centers",,,Yieldmo,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:55,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,clients4.google.com,,"Search Engines (Legacy), Infrastructure and Content Delivery Networks, Application, Search Engines and Portals",,,Do Not Decrypt Application,Sample Application Group,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:28,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,visitor-fra02.omnitagjs.com,,Advertisements,,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:26,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,visitor.omnitagjs.com,,Advertisements,,,,,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:25,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,global.ib-ibi.com,,"Business Services (Legacy), Application, Business and Industry",,,CoregMedia,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
dns,2023-05-13,22:18:24,Allowed,,,,,,,,,,,,test,Networks,test,Networks,,152.58.201.5,152.58.201.5,,,,,farm.plista.com,,"Advertisements, Business Services (Legacy), Application",,,Plista,Ad Publishing,A,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
